acronym,value,value_mean,value_ipsi,value_contra,value_left,value_right,is_seed,tract_experiment_id
SCop,0.001385115717630502,0.001385115717630502,0.000659625547811563,0.002110608244039841,0.000659625547811563,0.002110608244039841,False,583747816
SCs,0.0005569482098505889,0.0005569482098505889,0.0003078897113261,0.0008060067807358137,0.0003078897113261,0.0008060067807358137,False,583747816
SCsg,0.00015640934045485903,0.00015640934045485903,0.00010879806020151979,0.00020402048423657924,0.00010879806020151979,0.00020402048423657924,False,583747816
SCzo,0.0003624919561080568,0.0003624919561080568,0.0003178127006304397,0.0004071710718088813,0.0003178127006304397,0.0004071710718088813,False,583747816
SEZ,0.006902043454739333,0.006902043454739333,0.004856383876567965,0.008947702727785625,0.004856383876567965,0.008947702727785625,False,583747816
SF,0.0005544583573849594,0.0005544583573849594,0.0003321039893161838,0.0007768127234966697,0.0003321039893161838,0.0007768127234966697,False,583747816
SFO,0.00034906580483009376,0.00034906580483009376,0.0003230386549535178,0.00037509295343744146,0.0003230386549535178,0.00037509295343744146,False,583747816
SG,0.0063296547828879165,0.0063296547828879165,0.005872585067078026,0.006786724488171445,0.005872585067078026,0.006786724488171445,False,583747816
SGN,0.0009130427023623167,0.0009130427023623167,0.0002781834347641334,0.0015479019723545868,0.0002781834347641334,0.0015479019723545868,False,583747816
SH,0.0022283085993614906,0.0022283085993614906,0.0013445065790889576,0.00311209500468596,0.0013445065790889576,0.00311209500468596,False,583747816
SI,0.00044439867551340057,0.00044439867551340057,0.00020611276123907662,0.0006826851419590042,0.00020611276123907662,0.0006826851419590042,False,583747816
SIM,1.3480693715813837e-05,1.3480693715813837e-05,1.544055578139542e-05,1.1520831683548168e-05,1.544055578139542e-05,1.1520831683548168e-05,False,583747816
SLC,0.0016511239895044938,0.0016511239895044938,0.0012942377388369152,0.0020080102429917445,0.0012942377388369152,0.0020080102429917445,False,583747816
SLD,0.010140557726005039,0.010140557726005039,0.009053722360918687,0.011227393134736191,0.009053722360918687,0.011227393134736191,False,583747816
SMT,0.012500444054967063,0.012500444054967063,0.009467502474832376,0.015533385594175985,0.009467502474832376,0.015533385594175985,False,583747816
SNc,0.002161092582780142,0.002161092582780142,0.0012933802455281412,0.0030288049129235236,0.0012933802455281412,0.0030288049129235236,False,583747816
SNr,0.0014722622081641277,0.0014722622081641277,0.000578447348270077,0.002366077067376825,0.000578447348270077,0.002366077067376825,False,583747816
SO,0.001437501076666791,0.001437501076666791,0.0005884698758350916,0.002286532269618041,0.0005884698758350916,0.002286532269618041,False,583747816
SOC,4.148745660897498e-05,4.148745660897498e-05,5.393618191963509e-05,2.9038731298315485e-05,5.393618191963509e-05,2.9038731298315485e-05,False,583747816
SOCl,4.218431802166921e-05,4.218431802166921e-05,5.682167072762015e-05,2.7546965259654196e-05,5.682167072762015e-05,2.7546965259654196e-05,False,583747816
SOCm,2.9899828908993856e-05,2.9899828908993856e-05,4.015008943746023e-05,1.964956833953369e-05,4.015008943746023e-05,1.964956833953369e-05,False,583747816
SPA,0.011697549629013081,0.011697549629013081,0.009314796471851733,0.014080302752752908,0.009314796471851733,0.014080302752752908,False,583747816
